Timestamp,Gender,Webcam status during class,Mic status during class,Which device do you use for online classes?,Did you face any of the following issues after the initiation of online classes?,Are you able to understand the concepts through online classes?,Which teaching methodology do you prefer?,Are you interested in attending online classes?,If you are given a choice between online classes and offline classes which one will you choose?,Comments on online classes
8-31-2020 22:35:02,Female,Off (Other reason),Off (Other reason),Laptop,No Issue,Yes,Black board teaching,No,Offline classes,
8-31-2020 22:47:32,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Headache",No,Black board teaching,No,Offline classes,
8-31-2020 22:47:36,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Headache",No,Black board teaching,No,Offline classes,
8-31-2020 22:54:12,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
8-31-2020 22:56:33,Male,Off (Other reason),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,I'm not able follow the classes and I'm not understanding
8-31-2020 23:04:31,Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,Yes,Offline classes,
8-31-2020 23:10:10,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
8-31-2020 23:19:34,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache",No,Presentations (ppt),No,Offline classes,
8-31-2020 23:22:57,Male,Off (Untidy appearance),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
9-1-2020 0:08:49,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Online classes,
9-1-2020 3:51:12,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain",No,Black board teaching,No,Offline classes,
9-1-2020 6:22:39,Female,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,Online classes are an optional way to educate students in this pandemic .. but they need to think about students life .. sitting before phone is ok for 2-3hrs a day but it’s not fine for 6-7 hrs .. some parents won’t understand wht actually going on and they think their kids r wasting tym using social media .. but students are undergoing more and more health issues as they r spending 6-7 hrs on mobile a day to listen classes and the institutions is also giving a lot of assigenemts and homework’s which is causing a lot of burden to students mind 
9-1-2020 6:54:59,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,Yes,Offline classes,
9-1-2020 6:55:05,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,Yes,Offline classes,
9-1-2020 7:43:30,Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab","Eye Strain, Stress",Yes,Black board teaching,Yes,Offline classes,Online classes are helping much to people to improve our knowledge from home and saving time ... but it also effecting eyes and physical parts soo my conclusion is they are having advantages and disadvantages by online classes .
9-1-2020 8:03:46,Female,Off (Other reason),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
9-1-2020 8:05:39,Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Presentations (ppt),Yes,Online classes,
9-1-2020 9:06:42,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Back pain, Headache",Yes,Presentations (ppt),Yes,Online classes,
9-1-2020 9:22:57,Male,Off (No webcam available),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-1-2020 9:32:45,Female,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Black board teaching,Yes,Online classes,good
9-1-2020 9:35:33,Female,Off (Other reason),On (To answer Teacher),Phone,Headache,Yes,Black board teaching,Yes,Offline classes,
9-1-2020 9:36:24,Male,Off (Other reason),On (To answer Teacher),Laptop,Eye Strain,Yes,Presentations (ppt),Yes,Online classes,
9-1-2020 9:36:38,Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,Yes,Offline classes,
9-1-2020 9:48:10,Female,Off (Other reason),Off (Other reason),"Phone, Laptop","Eye Strain, Headache",No,Black board teaching,No,Offline classes,
9-1-2020 9:54:17,Female,Off (Other reason),On (To answer Teacher),Laptop,"Back pain, Headache, Other",No,Black board teaching,Yes,Offline classes,"Teachers seem to be just reading out of the ppts, so its hard to follow."
9-1-2020 9:59:50,Male,Off (Untidy appearance),Off (Other reason),"Phone, Laptop","Eye Strain, Stress",No,Presentations (ppt),No,Offline classes,
9-1-2020 10:02:22,Male,Off (No webcam available),Off (No mic available),Computer,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,
9-1-2020 10:05:04,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-1-2020 10:25:42,Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab",No Issue,No,Black board teaching,No,Offline classes,
9-1-2020 10:26:02,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,"
"
9-1-2020 10:55:50,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Online classes,
9-1-2020 11:00:21,Male,Off (No webcam available),Off (Do not want to reply),Phone,"Back pain, Stress",No,Black board teaching,No,Offline classes,
9-1-2020 11:01:00,Male,Off (Untidy appearance),On (To answer Teacher),Phone,No Issue,No,Presentations (ppt),No,Offline classes,
9-1-2020 11:19:22,Male,Off (Other reason),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,Not useful 
9-1-2020 11:26:55,Male,On (All the time),Always On,Phone,Headache,Yes,Presentations (ppt),Yes,Offline classes,
9-1-2020 11:42:17,Female,Off (Untidy appearance),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain",Yes,Black board teaching,No,Offline classes,
9-1-2020 11:44:18,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain",Yes,Black board teaching,No,Offline classes,
9-1-2020 11:54:33,Male,Off (Other reason),Off (Other reason),Phone,No Issue,Yes,Presentations (ppt),Yes,Online classes,"As per the schedule given to every student in  glearn which is used to open the zoom meeting classes. I am not able to get some to classes in schedule for the particular day 
By this issue am missing some of my classes. From 2 to 3 days iam facing this issue. "
9-1-2020 12:16:23,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-1-2020 12:45:42,Male,Off (No webcam available),Off (Do not want to reply),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,Yes,Online classes,
9-1-2020 12:49:27,Female,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Offline classes,
9-1-2020 14:05:49,Female,Off (Shy to switch on),On (To answer Teacher),"Phone, Laptop, Computer","Eye Strain, Headache, Stress",Yes,Presentations (ppt),No,Online classes,"Firstly,In this COVID pandemic I personally don’t wNt to attend these stupid classes.
Secondly,no one is interested.
So pls don’t attend "
9-1-2020 14:21:20,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Stress",Yes,Black board teaching,Yes,Offline classes,
9-1-2020 14:31:02,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Online classes,
9-1-2020 14:35:07,Male,Off (No webcam available),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,
9-1-2020 16:27:11,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,Offline is best
9-1-2020 18:28:05,Male,On (When teacher asks),On (To answer Teacher),Tab,"Eye Strain, Headache",Yes,Presentations (ppt),No,Offline classes,Offline > Online
9-1-2020 20:03:53,Female,On (When teacher asks),Off (Do not want to reply),Laptop,Headache,No,Black board teaching,No,Offline classes,
9-1-2020 20:51:56,Male,On (All the time),Always On,Phone,"Eye Strain, Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,None
9-1-2020 22:38:04,Male,Off (Untidy appearance),On (To answer Teacher),"Phone, Laptop",Back pain,No,Black board teaching,No,Offline classes,"Offline classes are better because of only one reason : we are getting adicted to digitalization more now a days, which will cause alot of problems. "
9-1-2020 23:35:39,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain",No,Presentations (ppt),Yes,Offline classes,"Even if I try to concentrate a lot, I can do it hardly for an hour, then I sway from the studying zone. Its takes me 10-15 min to come back into that zone. I would prefer offline classes anytime, but due to the situation, there's no other way."
9-1-2020 23:36:30,Female,Off (Other reason),On (To answer Teacher),"Phone, Laptop",Eye Strain,No,Presentations (ppt),Yes,Online classes,
9-1-2020 23:59:10,Male,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop",No Issue,No,Black board teaching,No,Offline classes,
9-2-2020 0:16:28,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,"If that is the best option available for our safety, we go with it. "
9-2-2020 9:23:42,Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,No,Black board teaching,No,Offline classes,Nothing
9-2-2020 9:23:44,Male,Off (Shy to switch on),Off (Do not want to reply),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,🤮
9-2-2020 9:35:00,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Other",Yes,Black board teaching,Yes,Online classes,Nothing
9-2-2020 9:35:05,Male,Off (Untidy appearance),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,
9-2-2020 9:40:37,Male,On (When teacher asks),On (To answer Teacher),Phone,Other,No,Black board teaching,No,Online classes,
9-2-2020 9:47:16,Female,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,I think it should be more interactive
9-2-2020 9:49:41,Male,On (When teacher asks),On (To answer Teacher),Computer,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
9-2-2020 10:04:02,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain",Yes,Black board teaching,Yes,Offline classes,
9-2-2020 11:15:21,Male,Off (No webcam available),On (To answer Teacher),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-2-2020 11:18:00,Female,On (All the time),On (To answer Teacher),Phone,No Issue,Yes,Black board teaching,Yes,Offline classes,
9-2-2020 11:18:25,Female,On (All the time),On (To answer Teacher),Phone,No Issue,Yes,Black board teaching,Yes,Offline classes,
9-2-2020 11:18:33,Female,On (All the time),On (To answer Teacher),Phone,No Issue,Yes,Black board teaching,Yes,Offline classes,
9-2-2020 12:24:54,Female,On (All the time),On (To answer Teacher),Tab,No Issue,Yes,Black board teaching,Yes,Online classes,
9-2-2020 13:02:14,Male,On (When teacher asks),Off (Other reason),Laptop,No Issue,Yes,Black board teaching,Yes,Offline classes,I will mute my mic because it cause disturbance and if teacher calls my name I will used to reply them
9-2-2020 13:49:59,Female,On (All the time),Always On,Tab,"Eye Strain, Back pain, Headache, Stress, Other",Yes,Presentations (ppt),Yes,Online classes,None
9-2-2020 13:50:27,Female,Off (Shy to switch on),Off (Do not want to reply),Tab,"Back pain, Stress, Other",Yes,Presentations (ppt),Yes,Online classes,None
9-2-2020 13:50:52,Male,On (When teacher asks),On (To answer Teacher),"Tab, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,Yes,Online classes,None
9-2-2020 13:51:17,Male,On (When teacher asks),Off (Do not want to reply),Laptop,"Eye Strain, Back pain, Stress",Yes,Presentations (ppt),Yes,Online classes,None
9-2-2020 13:51:37,Male,Off (Shy to switch on),Off (Do not want to reply),Tab,"Eye Strain, Back pain, Headache",Yes,Presentations (ppt),Yes,Online classes,None
9-2-2020 13:51:59,Male,Off (Shy to switch on),On (To answer Teacher),Computer,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,Yes,Online classes,None
9-2-2020 13:52:21,Male,On (When teacher asks),On (To answer Teacher),Computer,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,Yes,Online classes,None
9-2-2020 13:52:47,Male,On (All the time),Always On,Computer,Eye Strain,Yes,Black board teaching,Yes,Online classes,Okk
9-2-2020 13:53:11,Male,On (All the time),Always On,Phone,Eye Strain,Yes,Black board teaching,Yes,Online classes,Good
9-2-2020 13:53:36,Male,On (All the time),Always On,Phone,Back pain,Yes,Black board teaching,Yes,Online classes,Good
9-2-2020 13:54:00,Male,On (When teacher asks),Always On,Phone,Eye Strain,Yes,Black board teaching,Yes,Online classes,Excellent
9-2-2020 13:54:22,Male,On (All the time),Always On,Phone,Eye Strain,Yes,Black board teaching,Yes,Online classes,Good
9-2-2020 13:54:44,Male,On (All the time),Always On,Tab,Eye Strain,Yes,Black board teaching,Yes,Online classes,Good
9-2-2020 14:11:59,Male,On (When teacher asks),Off (Do not want to reply),Phone,"Back pain, Headache",Yes,Black board teaching,Yes,Online classes,None
9-2-2020 14:13:12,Male,Off (Other reason),Off (Other reason),Phone,No Issue,Yes,Presentations (ppt),Yes,Online classes,"As per the schedule given to every student in  glearn which is used to open the zoom meeting classes. I am not able to get some to classes in schedule for the particular day 
By this issue am missing some of my classes. From 2 to 3 days iam facing this issue. "
9-2-2020 19:32:00,Male,On (When teacher asks),Always On,"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache",Yes,Presentations (ppt),Yes,Online classes,
9-2-2020 20:36:36,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Headache, Stress",No,Black board teaching,No,Offline classes,Waste
9-2-2020 20:36:58,Female,Off (Untidy appearance),On (To answer Teacher),Computer,"Back pain, Other",No,Black board teaching,Yes,Online classes,Best
9-2-2020 20:37:24,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache",No,Presentations (ppt),Yes,Online classes,Good
9-2-2020 20:37:50,Female,On (When teacher asks),Off (Do not want to reply),Laptop,Back pain,Yes,Black board teaching,Yes,Online classes,Not good
9-2-2020 20:38:09,Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Black board teaching,Yes,Online classes,👍
9-2-2020 20:38:32,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Headache,Yes,Black board teaching,Yes,Online classes,Great
9-2-2020 20:38:55,Male,On (When teacher asks),On (To answer Teacher),"Phone, Computer",Stress,Yes,Black board teaching,Yes,Online classes,
9-2-2020 20:39:22,Female,On (All the time),On (To answer Teacher),"Phone, Laptop, Computer","Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,
9-2-2020 20:39:49,Male,On (When teacher asks),Always On,Tab,Stress,Yes,Black board teaching,Yes,Online classes,
9-2-2020 20:40:11,Male,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache, Stress, Other, No Issue",Yes,Black board teaching,Yes,Online classes,5n
9-2-2020 20:40:36,Male,Off (Untidy appearance),Off (Other reason),Computer,No Issue,Yes,Presentations (ppt),No,Online classes,
9-2-2020 20:40:56,Male,On (When teacher asks),On (To answer Teacher),Phone,"Back pain, Headache",Yes,Black board teaching,Yes,Online classes,
9-2-2020 20:41:16,Male,Off (Shy to switch on),On (To answer Teacher),Phone,Headache,Yes,Presentations (ppt),Yes,Online classes,👍
9-2-2020 20:41:53,Male,On (When teacher asks),On (To answer Teacher),Computer,Headache,Yes,Black board teaching,Yes,Online classes,👍
9-2-2020 20:42:13,Male,On (All the time),Always On,"Phone, Tab, Laptop",Back pain,Yes,Presentations (ppt),Yes,Online classes,
9-2-2020 20:42:40,Male,On (All the time),Always On,"Phone, Tab, Laptop",Headache,Yes,Presentations (ppt),Yes,Offline classes,
9-3-2020 2:17:21,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 12:45:04,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,
9-3-2020 13:22:09,Male,Off (No webcam available),Off (Do not want to reply),"Phone, Tab","Eye Strain, Other, No Issue",Yes,Black board teaching,Yes,Offline classes,Str
9-3-2020 13:22:50,Female,Off (Untidy appearance),On (To answer Teacher),Laptop,Headache,Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 13:23:25,Male,Off (No webcam available),Off (No mic available),"Phone, Laptop",No Issue,Yes,Black board teaching,No,Offline classes,
9-3-2020 13:24:13,Female,Off (Shy to switch on),On (To answer Teacher),Laptop,No Issue,Yes,Black board teaching,No,Offline classes,
9-3-2020 13:24:42,Female,Off (Shy to switch on),Off (No mic available),Laptop,Stress,Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 13:25:19,Female,Off (No webcam available),Off (Do not want to reply),"Phone, Tab",Eye Strain,Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 13:25:39,Female,Off (Untidy appearance),Off (Do not want to reply),Tab,Stress,No,Presentations (ppt),No,Offline classes,
9-3-2020 13:26:24,Male,Off (No webcam available),Off (No mic available),Computer,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),No,Offline classes,
9-3-2020 13:26:55,Male,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop","Eye Strain, Stress",Yes,Black board teaching,Yes,Online classes,
9-3-2020 13:27:35,Male,On (All the time),Off (No mic available),Computer,No Issue,Yes,Presentations (ppt),Yes,Online classes,
9-3-2020 13:35:16,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
9-3-2020 13:36:51,Female,On (When teacher asks),On (To answer Teacher),"Tab, Laptop",Eye Strain,No,Black board teaching,No,Offline classes,
9-3-2020 13:37:24,Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,Yes,Offline classes,
9-3-2020 13:38:25,Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,No,Black board teaching,No,Offline classes,
9-3-2020 13:38:25,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
9-3-2020 13:38:59,Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,No,Black board teaching,No,Offline classes,
9-3-2020 13:39:00,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
9-3-2020 13:39:24,Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,No,Offline classes,
9-3-2020 13:39:35,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
9-3-2020 13:39:52,Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,No,Offline classes,
9-3-2020 13:40:07,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
9-3-2020 13:40:16,Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,Yes,Offline classes,
9-3-2020 13:40:38,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
9-3-2020 13:40:48,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Stress, Other",No,Black board teaching,No,Offline classes,
9-3-2020 13:41:18,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 13:41:27,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Headache, Stress",No,Black board teaching,Yes,Offline classes,
9-3-2020 13:41:30,Male,Off (Other reason),Off (Other reason),Laptop,"Eye Strain, Headache, Other",Yes,Black board teaching,Yes,Offline classes,Very good
9-3-2020 13:41:42,Male,Off (Other reason),Off (Other reason),Laptop,"Eye Strain, Headache, Other",Yes,Black board teaching,Yes,Offline classes,Very good
9-3-2020 13:41:43,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 13:41:51,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 13:42:12,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 13:42:18,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Headache, Stress",No,Black board teaching,Yes,Offline classes,
9-3-2020 13:42:40,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 13:42:42,Female,Off (Other reason),Off (Other reason),Laptop,"Eye Strain, Headache",Yes,Black board teaching,Yes,Offline classes, Good 
9-3-2020 13:42:47,Female,Off (Shy to switch on),On (To answer Teacher),Laptop,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 13:43:12,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 13:43:19,Male,Off (Other reason),Off (Other reason),Laptop,"Eye Strain, Headache, Stress, Other",Yes,Black board teaching,No,Offline classes,Good
9-3-2020 13:43:29,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 13:43:34,Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,No,Black board teaching,Yes,Offline classes,
9-3-2020 13:43:56,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 13:43:57,Female,Off (Shy to switch on),Off (Do not want to reply),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 13:44:07,Female,Off (Other reason),Off (Other reason),Laptop,"Eye Strain, Headache, Stress, Other",Yes,Black board teaching,Yes,Offline classes,Good
9-3-2020 13:44:22,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 13:44:24,Female,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Headache",No,Black board teaching,Yes,Offline classes,
9-3-2020 13:44:59,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain",No,Black board teaching,No,Online classes,
9-3-2020 13:45:34,Female,On (All the time),Always On,Laptop,Headache,No,Black board teaching,Yes,Offline classes,
9-3-2020 13:45:54,Male,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,Yes,Black board teaching,Yes,Offline classes,
9-3-2020 13:46:26,Male,On (All the time),Always On,Laptop,Other,No,Black board teaching,No,Offline classes,
9-3-2020 13:47:03,Female,On (When teacher asks),Off (Do not want to reply),Laptop,Back pain,No,Black board teaching,Yes,Offline classes,
9-3-2020 13:47:09,Female,Off (Other reason),Off (Other reason),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
9-3-2020 13:47:26,Male,On (All the time),Always On,Tab,"Back pain, Headache, Other",Yes,Black board teaching,No,Online classes,
9-3-2020 13:47:42,Male,Off (Untidy appearance),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 13:48:03,Female,Off (No webcam available),Off (No mic available),"Phone, Laptop",Other,No,Black board teaching,No,Offline classes,
9-3-2020 13:48:20,Female,On (All the time),Always On,Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
9-3-2020 13:48:43,Female,Off (Shy to switch on),On (To answer Teacher),Tab,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
9-3-2020 13:48:59,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 13:49:16,Male,On (When teacher asks),Off (Do not want to reply),Phone,Headache,No,Black board teaching,No,Offline classes,
9-3-2020 13:49:34,Female,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 13:49:35,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
9-3-2020 13:49:52,Female,Off (Untidy appearance),On (To answer Teacher),Tab,"Back pain, Headache, Other",Yes,Black board teaching,No,Offline classes,
9-3-2020 13:50:09,Female,On (When teacher asks),On (To answer Teacher),Phone,"Back pain, Headache, Other",No,Black board teaching,Yes,Offline classes,
9-3-2020 13:50:25,Female,On (All the time),On (To answer Teacher),Tab,"Back pain, Stress",No,Black board teaching,No,Offline classes,
9-3-2020 13:51:03,Female,On (All the time),Always On,Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
9-3-2020 13:51:28,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Headache",No,Black board teaching,Yes,Offline classes,
9-3-2020 13:51:54,Female,Off (Other reason),Off (Other reason),Laptop,Other,Yes,Black board teaching,Yes,Online classes,good
9-3-2020 13:51:59,Female,On (All the time),Always On,Laptop,Eye Strain,No,Black board teaching,Yes,Online classes,
9-3-2020 13:53:47,Female,On (When teacher asks),Always On,Laptop,Eye Strain,No,Black board teaching,Yes,Offline classes,
9-3-2020 13:53:54,Male,Off (Untidy appearance),Off (Do not want to reply),Phone,"Headache, Stress",Yes,Black board teaching,Yes,Online classes,
9-3-2020 13:54:36,Female,On (All the time),Always On,Laptop,No Issue,No,Presentations (ppt),No,Online classes,Nothing
9-3-2020 13:54:45,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 13:54:52,Male,Off (Other reason),Off (Other reason),Computer,Other,Yes,Black board teaching,Yes,Offline classes,good
9-3-2020 13:55:07,Female,Off (Other reason),Off (Other reason),Computer,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,No,Offline classes,None
9-3-2020 13:55:53,Female,On (When teacher asks),On (To answer Teacher),Computer,No Issue,Yes,Presentations (ppt),Yes,Online classes,Very effective
9-3-2020 13:56:26,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 13:56:25,Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,No,Offline classes,
9-3-2020 13:56:34,Male,Off (Shy to switch on),Off (Do not want to reply),Tab,"Eye Strain, Headache",Yes,Black board teaching,No,Offline classes,Not much effective
9-3-2020 13:56:50,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 13:57:12,Female,On (All the time),Always On,Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
9-3-2020 13:57:20,Male,Off (No webcam available),Off (No mic available),Phone,"Back pain, Headache",No,Black board teaching,No,Offline classes,Waste of time
9-3-2020 13:57:35,Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,Yes,Offline classes,
9-3-2020 13:57:48,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
9-3-2020 13:57:59,Male,On (All the time),Always On,Laptop,Back pain,No,Black board teaching,Yes,Online classes,
9-3-2020 13:58:33,Female,Off (Untidy appearance),Off (Do not want to reply),Computer,"Back pain, Stress",Yes,Presentations (ppt),Yes,Online classes,Important in this pandemic situation
